ID,Work Item Type,Title 1,Title 2,Title 3,Title 4,State,Effort,Business Value,Value Area,Tags
"130","Epic","Cloud Adoption Strategy",,,,"New","0",,"Business","Strategy"
"137","Feature",,"Define Adoption Strategy",,,"New","0",,"Business","Strategy"
"342","User Story",,,"1 - Motivations",,"New","0",,"Business","Strategy"
"343","User Story",,,"2 - Business Outcomes",,"New","0",,"Business","Strategy"
"156","Task",,,,"1 - Sustainability targets and goals","New","0",,,"Strategy"
"200","Task",,,,"2 - Sustainability reporting tool","New","0",,,"Strategy"
"246","Task",,,,"3 - Implementation and application of OKRs (objectives, key results)","New","0",,,"Strategy"
"344","User Story",,,"3 - Business Case",,"New","0",,"Business","Strategy"
"290","Task",,,,"1 - Microsoft Cloud Economic Assessment","New","0",,,"Strategy"
"345","User Story",,,"4 - Adoption Project(s)",,"New","0",,"Business","Strategy"
"305","Task",,,,"1 - Build list of applications / workloads destined for Cloud","New","0",,,"Strategy"
"346","User Story",,,"5 - Who will deploy your environment. Self-build, Microsoft Services or Partner",,"New","0",,"Business","Strategy"
"131","Epic","Cloud Adoption Plan",,,,"New","0",,"Business","Plan"
"136","Feature",,"Build the Cloud Adoption Plan",,,"New","0",,"Business","Plan"
"339","User Story",,,"1 - Initial organizational alignment",,"New","0",,"Business","Plan"
"295","Task",,,,"3 - Map Skills needed for Cloud organization","New","0",,,"Plan"
"298","Task",,,,"2 - Review skills needed for Cloud organization and build readiness plan","New","0",,,"Plan"
"302","Task",,,,"1- Define team structures for the cloud. Cloud based organization","New","0",,,"Plan"
"340","User Story",,,"2 - Digital Estate",,"New","0",,"Business","Plan"
"157","Task",,,,"1 - App discovery & dependency mapping with Azure Migrate","New","0",,,"Plan"
"202","Task",,,,"2 - Dependency Analysis with Azure Migrate","New","0",,,"Plan"
"242","Task",,,,"3 - Dependency Analysis with AppDynamics","New","0",,,"Plan"
"341","User Story",,,"3 - Update the Cloud Adoption Plan",,"New","0",,"Business","Plan"
"318","Task",,,,"3 - Document Members of the Cloud Teams in Cloud Adoption Plan","New","0",,,"Plan"
"319","Task",,,,"2 - Skills Readiness Plan for Developers, IT Staff and Business Users","New","0",,,"Plan"
"320","Task",,,,"1 - Prioritize workloads and projects","New","0",,,"Plan"
"132","Epic","Cloud Ready",,,,"New","0",,"Business","Ready"
"134","Feature",,"Getting Started with Azure",,,"New","0",,"Business","Ready"
"354","User Story",,,"1 - Azure Fundamentals",,"New","0",,"Business","Ready"
"204","Task",,,,"1 - How does Azure Work","New","0",,,"Ready"
"206","Task",,,,"2 - Terminologies","New","0",,,"Ready"
"207","Task",,,,"3 - Portfolio Hierarchy","New","0",,,"Ready"
"208","Task",,,,"4 - Subscription purposes","New","0",,,"Ready"
"209","Task",,,,"5 - Principles of Resource Groups","New","0",,,"Ready"
"210","Task",,,,"6 - Azure administrative roles","New","0",,,"Ready"
"211","Task",,,,"7 - Azure Monitoring and Security on Governance","New","0",,,"Ready"
"212","Task",,,,"8 - Review Data Options","New","0",,,"Ready"
"213","Task",,,,"9 - Review Storage Options","New","0",,,"Ready"
"214","Task",,,,"10 - Review Network  Options","New","0",,,"Ready"
"215","Task",,,,"11 - Review Compute Options","New","0",,,"Ready"
"216","Task",,,,"12 - Role-based Access Control","New","0",,,"Ready"
"296","Task",,,,"13 - Azure for GCP Professionals","New","0",,,"Ready"
"297","Task",,,,"13 - Azure for AWS Professionals","New","0",,,"Ready"
"355","User Story",,,"2 - Skills readiness plan",,"New","0",,"Business","Ready"
"151","Task",,,,"1 - Build a readiness plan and map roles","New","0",,,"Ready"
"177","Task",,,,"2 - Microsoft Learn Platform","New","0",,,"Ready"
"251","Task",,,,"3 - Microsoft Enterprise Skills Initiative","New","0",,,"Ready"
"135","Feature",,"Create the Landing zone, 3 potential paths: Enterprise Scale | Start Small and Grow | Partner built",,,"New","0",,"Business","Ready"
"334","User Story",,,"1 - Architectural Decision Guide",,"New","0",,"Business","Ready"
"166","Task",,,,"1 - Subscription Design","New","0",,,"Ready"
"227","Task",,,,"2 - Subscription decision guides","New","0",,,"Ready"
"321","Task",,,,"11 - Azure Naming and Tagging Convention","New","0",,,"Ready"
"322","Task",,,,"10 - Automation and Planning for a DevOps approach","New","0",,,"Ready"
"323","Task",,,,"9 - BCDR Design Considerations","New","0",,,"Ready"
"324","Task",,,,"8 - Compliance and Policy Enforcement Decision Guide","New","0",,,"Ready"
"325","Task",,,,"7 - Security Decision Guide and Best practices","New","0",,,"Ready"
"326","Task",,,,"6 - Monitoring Decision Guide","New","0",,,"Ready"
"327","Task",,,,"5 - Policy Enforcement Decision Guide","New","0",,,"Ready"
"328","Task",,,,"4 - Network Decision Guide","New","0",,,"Ready"
"329","Task",,,,"3 - Identity Decision Guide","New","0",,,"Ready"
"335","User Story",,,"2 - Landing zone considerations",,"New","0",,"Business","Ready"
"291","Task",,,,"4 - Evaluate Enterprise-Scale","New","0",,,"Ready"
"292","Task",,,,"3 - Evaluate Terraform Landing Zone","New","0",,,"Ready"
"293","Task",,,,"2 - Evaluate the CAF Foundation and Migrate Landing Zone blueprint","New","0",,,"Ready"
"294","Task",,,,"1 - Decide on the path to create landing zone. Start Small and Growth, Enterprise Scale or Partner","New","0",,,"Ready"
"336","User Story",,,"3 - Create Azure Subscriptions",,"New","0",,"Business","Ready"
"155","Task",,,,"1 - EA Portal - Getting Started","New","0",,,"Ready"
"173","Task",,,,"2 - Initial subscriptions","New","0",,,"Ready"
"187","Task",,,,"3 - Scale subscriptions","New","0",,,"Ready"
"190","Task",,,,"4 - Organize subscriptions","New","0",,,"Ready"
"191","Task",,,,"5 - Organize Resources","New","0",,,"Ready"
"201","Task",,,,"6 - Creating additional subscriptions","New","0",,,"Ready"
"222","Task",,,,"7 - Associate or add an Azure subscription to you AAD Tenant","New","0",,,"Ready"
"243","Task",,,,"8 - Creating Subscriptions Programmatically","New","0",,,"Ready"
"248","Task",,,,"9 - Organizing resources with management groups","New","0",,,"Ready"
"249","Task",,,,"10 - Tutorial: Create an additional Azure subscription","New","0",,,"Ready"
"337","User Story",,,"4 - Establish your Network",,"New","0",,"Business","Ready"
"141","Task",,,,"1 - Choose a networking architecture","New","0",,,"Ready"
"142","Task",,,,"2 - Azure networking services overview","New","0",,,"Ready"
"143","Task",,,,"3 - Common-Design-Principles-for-a-Hub-and-Spoke-VNET-Architecture","New","0",,,"Ready"
"149","Task",,,,"4 - Hub and spoke network topology","New","0",,,"Ready"
"158","Task",,,,"5 - Best Practices for Network Security","New","0",,,"Ready"
"171","Task",,,,"6 - Network segmentation","New","0",,,"Ready"
"188","Task",,,,"7 - Virtual Networking planning","New","0",,,"Ready"
"189","Task",,,,"8 - Azure VPN Gateway","New","0",,,"Ready"
