Outcome,Recommendation,TargetType,RuleId,RuleName
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Compute/restorePointCollections,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Pass,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Storage/storageAccounts,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Pass,Storage accounts should only accept secure traffic. Consider only accepting encrypted connections by setting the Secure transfer required option. Also consider using Azure Policy to audit or enforce this configuration.,Microsoft.Storage/storageAccounts,PSRule.Rules.Azure\Azure.Storage.SecureTransfer,Azure.Storage.SecureTransfer
Pass,Consider disallowing anonymous access to storage account blobs unless specifically required. Also consider enforcing this setting using Azure Policy.,Microsoft.Storage/storageAccounts,PSRule.Rules.Azure\Azure.Storage.BlobPublicAccess,Azure.Storage.BlobPublicAccess
Pass,"To provide secure access to data always use the Private access type (default). Use Shared Access Signatures (SAS) to provide secure access to individual blobs or containers as required.
Consider using SAS tokens stored securely in a key vault, rotated and only accessed by approved applications.",Microsoft.Storage/storageAccounts,PSRule.Rules.Azure\Azure.Storage.BlobAccessType,Azure.Storage.BlobAccessType
Pass,Consider configuring the minimum supported TLS version to be 1.2. Also consider enforcing this setting using Azure Policy.,Microsoft.Storage/storageAccounts,PSRule.Rules.Azure\Azure.Storage.MinTLS,Azure.Storage.MinTLS
Pass,Consider using names that meet Storage Account naming requirements. Additionally consider naming resources with a standard naming convention.,Microsoft.Storage/storageAccounts,PSRule.Rules.Azure\Azure.Storage.Name,Azure.Storage.Name
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",microsoft.operationalinsights/workspaces,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.OperationsManagement/solutions,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.OperationsManagement/solutions,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.OperationsManagement/solutions,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
